experimental_code,Species,treatment,death_date,death_cause,weight_date_1,weight_1,weight_date_2,weight_2,GPL_GE,GPL_Pos_Neg,CAPE_GE,CAPE_Pos_Neg
Jul-34,bufobufo,HEUGPL,04.08.2014,Euthanise,17.07.2014,0.119,NA,NA,28.50541592,1,NA,NA
Jul-35,bufobufo,HEUGPL,04.08.2014,mort,17.07.2014,0.068,NA,NA,93.71132851,1,NA,NA
08-Jan,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.102,18.08.2014,0.088,17.1762073,1,NA,NA
08-Feb,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.092,18.08.2014,0.096,0,0,NA,NA
08-Mar,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.113,18.08.2014,0.132,0,0,NA,NA
08-Apr,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.104,18.08.2014,0.085,0,0,NA,NA
08-May,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.097,18.08.2014,0.102,0,0,NA,NA
08-Jun,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.063,18.08.2014,0.09,0,0,NA,NA
08-Jul,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.112,18.08.2014,0.119,0,0,NA,NA
08-Aug,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.124,18.08.2014,0.112,0,0,NA,NA
08-Sep,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.105,18.08.2014,0.126,0,0,NA,NA
08-Oct,bufobufo,LEUGPL,04.08.2014,Euthanise,17.07.2014,0.069,NA,NA,0,0,NA,NA
08-Nov,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.11,18.08.2014,0.124,11.8582356,1,NA,NA
08-Dec,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.1,18.08.2014,0.177,0,0,NA,NA
Aug-13,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.105,18.08.2014,0.126,0,0,NA,NA
Aug-14,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.102,18.08.2014,0.107,0,0,NA,NA
Aug-15,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.133,18.08.2014,0.138,0,0,NA,NA
Aug-16,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.107,18.08.2014,0.128,23.030653,1,NA,NA
Aug-17,bufobufo,LEUGPL,10.08.2014,Euthanise,17.07.2014,0.097,NA,NA,0,0,NA,NA
Aug-18,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.106,18.08.2014,0.126,86.54800415,1,NA,NA
Aug-19,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.102,18.08.2014,0.136,0,0,NA,NA
Aug-20,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.107,18.08.2014,0.095,0,0,NA,NA
Aug-21,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.096,18.08.2014,0.091,0,0,NA,NA
Aug-22,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.093,18.08.2014,0.077,21.11956596,1,NA,NA
Aug-23,bufobufo,LEUGPL,04.08.2014,mort,17.07.2014,0.091,NA,NA,19.17150497,1,NA,NA
Aug-24,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.109,18.08.2014,0.101,30.0891161,1,NA,NA
Aug-25,bufobufo,LEUGPL,10.08.2014,mort,17.07.2014,0.099,NA,NA,28.48109245,1,NA,NA
Aug-26,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.108,18.08.2014,0.123,15.04855752,1,NA,NA
Aug-27,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.112,18.08.2014,0.123,66.76813126,1,NA,NA
Aug-28,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.105,18.08.2014,0.079,43.11868668,1,NA,NA
Aug-29,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.091,18.08.2014,0.099,31.18377209,1,NA,NA
Aug-30,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.099,18.08.2014,0.135,31.47625446,1,NA,NA
Aug-31,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.106,18.08.2014,0.12,0,0,NA,NA
Aug-32,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.103,18.08.2014,0.108,8.473055363,1,NA,NA
Aug-33,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.116,18.08.2014,0.14,98.64711761,1,NA,NA
Aug-34,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.076,18.08.2014,0.112,96.27811432,1,NA,NA
Aug-35,bufobufo,LEUGPL,18.08.2014,end_of_exsperiment,17.07.2014,0.099,18.08.2014,0.116,0,0,NA,NA
